pdb_id,chain_id
5sbj-assembly1,A
7pv5-assembly1,A
7qp5-assembly1,A
7qsj-assembly1,A
7t9r-assembly1,A
7tlh-assembly1,A
7tjb-assembly1,A
7uba-assembly1,A
7uk8-assembly1,A
7ur2-assembly1,A
7ur7-assembly1,A
7urp-assembly1,A
7uvg-assembly1,A
7uww-assembly1,A
7v3o-assembly1,A
7w15-assembly1,A
7y3h-assembly1,A
7wz5-assembly1,A
7wzm-assembly1,A
7x4p-assembly1,A
7x3h-assembly1,A
7x8l-assembly1,A
7xcd-assembly1,A
7xg9-assembly1,A
7xi5-assembly1,A
7xp9-assembly1,A
8ycm-assembly1,A
7xq4-assembly1,A
7xrx-assembly1,A
7xjr-assembly1,A
7xyr-assembly1,A
7xz3-assembly1,A
7y4h-assembly1,A
7y54-assembly1,A
7y5m-assembly1,A
7y5r-assembly1,A
7y8h-assembly1,A
7y8i-assembly1,A
7y5j-assembly1,A
7yd4-assembly1,A
7yhr-assembly1,A
7ykm-assembly1,A
7ylr-assembly1,A
8gmy-assembly1,A
7yug-assembly1,A
7yyg-assembly1,A
7z65-assembly1,A
7znz-assembly1,A
7zoi-assembly1,A
7zs2-assembly1,A
7zu3-assembly1,A
7zv1-assembly1,A
8adc-assembly1,A
8add-assembly1,A
8ah9-assembly1,A
8akh-assembly1,A
8ak2-assembly1,A
8arl-assembly1,A
8q8i-assembly1,A
8au6-assembly1,A
8axj-assembly1,A
8azb-assembly1,A
8b2e-assembly1,A
8b2g-assembly1,A
8b2s-assembly1,A
8b4u-assembly1,A
8b5w-assembly1,A
8b61-assembly1,A
8b6a-assembly1,A
8b6e-assembly1,A
8baq-assembly1,A
8bau-assembly1,A
8bfy-assembly1,A
8bgb-assembly1,A
8bke-assembly1,A
8bsb-assembly1,A
8bux-assembly1,A
8c4d-assembly1,A
7xlz-assembly1,A
8c4y-assembly1,A
8cba-assembly1,A
8ci9-assembly1,A
8cih-assembly1,A
8amo-assembly1,A
8cpk-assembly1,A
8cpn-assembly1,A
8d2z-assembly1,A
8daj-assembly1,A
8dez-assembly1,A
8dge-assembly1,A
8dhj-assembly1,A
8dmu-assembly1,A
8dp9-assembly1,A
8dqd-assembly1,A
8dx0-assembly1,A
8e0r-assembly1,A
8e5h-assembly1,A
8eb9-assembly1,A
8ec3-assembly1,A
8eo5-assembly1,A
8eov-assembly1,A
8es6-assembly1,A
8ev4-assembly1,A
8ew1-assembly1,A
8ew9-assembly1,A
8ey3-assembly1,A
8ez6-assembly1,A
8ezw-assembly1,A
8f8n-assembly1,A
8f9o-assembly1,A
8fbc-assembly1,A
8jjq-assembly1,A
8fib-assembly1,A
8fjf-assembly1,A
8fr5-assembly1,A
8fty-assembly1,A
8h2f-assembly1,A
8fz8-assembly1,A
8fz9-assembly1,A
8g0n-assembly1,A
8g1l-assembly1,A
8g1y-assembly1,A
8g32-assembly1,A
8g52-assembly1,A
8g53-assembly1,A
8g5u-assembly1,A
8g64-assembly1,A
8gac-assembly1,A
8gbe-assembly1,A
8gdl-assembly1,A
8gj9-assembly1,A
8gjw-assembly1,A
8gjy-assembly1,A
8gkd-assembly1,A
8gok-assembly1,A
8gr7-assembly1,A
8gsy-assembly1,A
8gqq-assembly1,A
8gtz-assembly1,A
8q79-assembly1,A
8h02-assembly1,A
8h5s-assembly1,A
8hbt-assembly1,A
8hd2-assembly1,A
8he1-assembly1,A
8axs-assembly1,A
8hnq-assembly1,A
8hvd-assembly1,A
7xhz-assembly1,A
8hw8-assembly1,A
8hxs-assembly1,A
8ii8-assembly1,A
8ikx-assembly1,A
8ini-assembly1,A
8iqc-assembly1,A
8irq-assembly1,A
8iym-assembly1,A
8j2n-assembly1,A
8j2x-assembly1,A
8jb3-assembly1,A
7wr2-assembly1,A
8j8y-assembly1,A
8j9r-assembly1,A
8jdg-assembly1,A
8jh8-assembly1,A
8jiy-assembly1,A
8jmy-assembly1,A
8jn0-assembly1,A
8ju8-assembly1,A
8jup-assembly1,A
8jv2-assembly1,A
8jws-assembly1,A
8cjd-assembly1,A
8k2g-assembly1,A
8k2k-assembly1,A
8k2m-assembly1,A
8k4m-assembly1,A
8k5j-assembly1,A
8k7o-assembly1,A
8k7x-assembly1,A
8k7z-assembly1,A
8k83-assembly1,A
8k84-assembly1,A
8kcj-assembly1,A
8ka7-assembly1,A
8kac-assembly1,A
8kg4-assembly1,A
8xrh-assembly1,A
8khv-assembly1,A
8kih-assembly1,A
8ok3-assembly1,A
8oqh-assembly1,A
8ork-assembly1,A
8os2-assembly1,A
8owf-assembly1,A
8osz-assembly1,A
8ou1-assembly1,A
8ovq-assembly1,A
8ovu-assembly1,A
8ow8-assembly1,A
8oxk-assembly1,A
8oxl-assembly1,A
8oys-assembly1,A
8oyy-assembly1,A
8p0e-assembly1,A
8p2a-assembly1,A
8p5p-assembly1,A
8p5n-assembly1,A
7wu8-assembly1,A
8pak-assembly1,A
8paq-assembly1,A
8pb5-assembly1,A
8por-assembly1,A
8ptd-assembly1,A
8pu2-assembly1,A
8pvs-assembly1,A
8pw2-assembly1,A
8pxc-assembly1,A
8pxu-assembly1,A
8q1v-assembly1,A
8qb1-assembly1,A
8qd8-assembly1,A
8qjp-assembly1,A
8qkd-assembly1,A
8qlc-assembly1,A
8qoh-assembly1,A
8qpj-assembly1,A
8qq1-assembly1,A
8qle-assembly1,A
8qup-assembly1,A
8qx6-assembly1,A
8r2c-assembly1,A
8r5n-assembly1,A
8ra0-assembly1,A
8rcw-assembly1,A
8rdd-assembly1,A
8re3-assembly1,A
8rom-assembly1,A
8an4-assembly1,A
8qnf-assembly1,A
8s5b-assembly1,A
8s9l-assembly1,A
8sot-assembly1,A
8spc-assembly1,A
8suc-assembly1,A
8sv7-assembly1,A
8sx0-assembly1,A
8sxs-assembly1,A
8gm7-assembly1,A
8t27-assembly1,A
8t2j-assembly1,A
8t41-assembly1,A
8t4c-assembly1,A
8t5t-assembly1,A
8t8k-assembly1,A
8t93-assembly1,A
8t9n-assembly1,A
